,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,date
922,40,Vallès Occidental,08180,Ripollet,0,Home,Sospitós,53,11-06
923,11,Baix Llobregat,08077,Esplugues de Llobregat,0,Home,PCR probable,1,11-06
924,19,Garrotxa,17184,Santa Pau,1,Dona,Sospitós,1,11-06
925,33,Segrià ,25210,Soses,1,Dona,Sospitós,1,11-06
926,24,Osona,08199,Sant Bartomeu del Grau,0,Home,Sospitós,3,11-06
927,34,Selva,17095,Lloret de Mar,1,Dona,Sospitós,16,11-06
928,02,Alt Empordà ,17047,Castelló d'Empúries,0,Home,Positiu PCR,1,11-06
929,11,Baix Llobregat,08301,Viladecans,0,Home,Sospitós,87,11-06
930,11,Baix Llobregat,08123,Molins de Rei,0,Home,Sospitós,20,11-06
931,21,Maresme,08155,Palafolls,1,Dona,Sospitós,9,11-06
932,21,Maresme,08032,Caldes d'Estrac,1,Dona,Positiu PCR,2,11-06
933,02,Alt Empordà ,17016,Bàscara,1,Dona,Sospitós,1,11-06
934,34,Selva,17233,Vilobí d'Onyar,1,Dona,Sospitós,7,11-06
935,10,Baix Empordà ,17126,Parlavà,1,Dona,Positiu PCR,1,11-06
936,28,Pla de l'Estany,17123,Palol de Revardit,0,Home,Sospitós,1,11-06
937,28,Pla de l'Estany,17056,Cornellà del Terri,0,Home,Sospitós,3,11-06
938,41,Vallès Oriental,08210,Sant Feliu de Codines,1,Dona,Sospitós,5,11-06
939,20,Gironès,17168,Sant Joan de Mollet,1,Dona,Sospitós,2,11-06
940,10,Baix Empordà ,17181,Santa Cristina d'Aro,1,Dona,Sospitós,9,11-06
941,12,Baix Penedès,43163,El Vendrell,0,Home,Sospitós,22,11-06
942,11,Baix Llobregat,08114,Martorell,0,Home,Positiu PCR,11,11-06
943,34,Selva,17213,Vidreres,1,Dona,Sospitós,4,11-06
944,03,Alt Penedès,08122,Mediona,1,Dona,Sospitós,2,11-06
945,24,Osona,08129,Muntanyola,0,Home,Sospitós,1,11-06
946,11,Baix Llobregat,08073,Cornellà de Llobregat,0,Home,Positiu PCR,19,11-06
947,08,Baix Camp,43178,Vinyols i  els Arcs,1,Dona,Sospitós,3,11-06
948,19,Garrotxa,17207,La Vall d'En Bas,0,Home,Sospitós,1,11-06
949,01,Alt Camp,43005,Alcover,1,Dona,Sospitós,4,11-06
950,17,Garraf,08231,Sant Pere de Ribes,0,Home,Sospitós,9,11-06
951,34,Selva,17007,Amer,0,Home,Sospitós,3,11-06
952,40,Vallès Occidental,08238,Sant Quirze del Vallès,0,Home,Sospitós,26,11-06
953,21,Maresme,08075,Dosrius,1,Dona,Positiu PCR,1,11-06
954,34,Selva,17148,Riudarenes,1,Dona,Positiu PCR,1,11-06
955,07,Bages,08113,Manresa,1,Dona,Positiu PCR,9,11-06
956,41,Vallès Oriental,08198,Sant Antoni de Vilamajor,0,Home,Sospitós,4,11-06
957,37,Terra Alta,43106,El Pinell de Brai,1,Dona,Sospitós,1,11-06
958,13,Barcelonès,08245,Santa Coloma de Gramenet,0,Home,Sospitós,150,11-06
959,40,Vallès Occidental,08260,Santa Perpétua de Mogoda,0,Home,Positiu PCR,4,11-06
960,02,Alt Empordà ,17152,Roses,0,Home,Positiu PCR,1,11-06
961,33,Segrià ,25228,Torrefarrera,1,Dona,Sospitós,3,11-06
962,24,Osona,08116,Les Masies de Roda,0,Home,Positiu PCR,1,11-06
963,12,Baix Penedès,43079,Masllorenç,1,Dona,Sospitós,1,11-06
964,19,Garrotxa,17133,Les Planes d'Hostoles,1,Dona,Sospitós,3,11-06
965,30,Ribera d'Ebre,43094,Móra la Nova,0,Home,Sospitós,1,11-06
966,02,Alt Empordà ,17062,L'Escala,1,Dona,Sospitós,2,11-06
967,27,Pla d'Urgell,25205,Sidamon,1,Dona,Sospitós,1,11-06
968,10,Baix Empordà ,17118,Palamós,0,Home,Positiu PCR,5,11-06
969,21,Maresme,08282,Tiana,1,Dona,Positiu PCR,1,11-06
970,17,Garraf,08307,Vilanova i la Geltrú,1,Dona,Sospitós,55,11-06
971,33,Segrià ,25204,Seròs,0,Home,Positiu PCR,1,11-06
972,20,Gironès,17155,Salt,0,Home,Sospitós,26,11-06
973,29,Priorat,43115,Pradell de la Teixeta,1,Dona,Sospitós,1,11-06
974,27,Pla d'Urgell,25068,Castellnou de Seana,1,Dona,Positiu PCR,2,11-06
975,13,Barcelonès,08015,Badalona,0,Home,Positiu per Test Ràpid,1,11-06
976,14,Berguedà ,08175,Puig-Reig,1,Dona,Positiu PCR,2,11-06
977,02,Alt Empordà ,17223,Vilajuïga,0,Home,Sospitós,2,11-06
978,08,Baix Camp,43128,Riudecols,1,Dona,Positiu PCR,1,11-06
979,11,Baix Llobregat,08020,Begues,1,Dona,Positiu PCR,1,11-06
980,36,Tarragonès,43153,Torredembarra,1,Dona,Sospitós,13,11-06
981,24,Osona,08298,Vic,1,Dona,Sospitós,56,11-06
982,06,Anoia,08302,Vilanova del Camí,0,Home,Sospitós,12,11-06
983,19,Garrotxa,17098,Maià de Montcal,1,Dona,Sospitós,1,11-06
984,12,Baix Penedès,43020,Banyeres del Penedès,1,Dona,Sospitós,2,11-06
985,23,Noguera,25034,Artesa de Segre,0,Home,Positiu PCR,1,11-06
986,21,Maresme,08264,Sant Vicenç de Montalt,0,Home,Sospitós,5,11-06
987,06,Anoia,08228,Sant Martí Sesgueioles,1,Dona,Sospitós,3,11-06
988,14,Berguedà ,08166,La Pobla de Lillet,1,Dona,Positiu PCR,1,11-06
989,36,Tarragonès,43111,La Pobla de Montornès,1,Dona,Sospitós,1,11-06
990,34,Selva,17164,Sant Hilari Sacalm,1,Dona,Positiu PCR,1,11-06
991,07,Bages,08191,Sallent,1,Dona,Sospitós,2,11-06
992,24,Osona,08220,Sant Julià de Vilatorta,1,Dona,Sospitós,3,11-06
993,21,Maresme,08118,El Masnou,1,Dona,Positiu per Test Ràpid,1,11-06
994,34,Selva,17148,Riudarenes,0,Home,Sospitós,1,11-06
995,19,Garrotxa,17114,Olot,0,Home,Positiu PCR,7,11-06
996,11,Baix Llobregat,08158,El Papiol,1,Dona,Sospitós,8,11-06
997,21,Maresme,08121,Mataró,0,Home,Positiu PCR,27,11-06
998,08,Baix Camp,43009,Alforja,1,Dona,Positiu PCR,1,11-06
999,19,Garrotxa,17114,Olot,1,Dona,Positiu PCR,6,11-06
1000,33,Segrià ,25182,Puigverd de Lleida,1,Dona,Sospitós,1,11-06
1001,24,Osona,08247,Santa Eulàlia de Riuprimer,1,Dona,Sospitós,2,11-06
1002,24,Osona,08215,Sant Hipòlit de Voltregà,0,Home,Positiu PCR,3,11-06
1003,04,Alt Urgell,25203,La Seu d'Urgell,1,Dona,Sospitós,21,11-06
1004,08,Baix Camp,43003,l'Albiol,0,Home,Sospitós,3,11-06
1005,24,Osona,08278,Taradell,1,Dona,Positiu PCR,3,11-06
1006,11,Baix Llobregat,08211,Sant Feliu de Llobregat,1,Dona,Positiu PCR,5,11-06
1007,36,Tarragonès,43153,Torredembarra,0,Home,Sospitós,16,11-06
1008,04,Alt Urgell,25140,Montferrer i Castellbò,1,Dona,Sospitós,2,11-06
1009,02,Alt Empordà ,17182,Santa Llogaia d'Àlguema,0,Home,Sospitós,1,11-06
1010,14,Berguedà ,08016,Bagà,1,Dona,Positiu PCR,2,11-06
1011,07,Bages,08127,Monistrol de Montserrat,1,Dona,Sospitós,1,11-06
1012,11,Baix Llobregat,08301,Viladecans,1,Dona,PCR probable,1,11-06
1013,34,Selva,17180,Santa Coloma de Farners,1,Dona,Sospitós,4,11-06
1014,24,Osona,08237,Sant Quirze de Besora,0,Home,Sospitós,5,11-06
1015,12,Baix Penedès,43037,Calafell,0,Home,Positiu PCR,1,11-06
1016,04,Alt Urgell,25165,Peramola,1,Dona,Positiu PCR,1,11-06
1017,21,Maresme,08110,Malgrat de Mar,1,Dona,Sospitós,29,11-06
1018,08,Baix Camp,43038,Cambrils,0,Home,Sospitós,16,11-06
1019,03,Alt Penedès,08065,Castellví de la Marca,1,Dona,Sospitós,2,11-06
1020,04,Alt Urgell,25906,Les Valls d'Aguilar,1,Dona,Sospitós,1,11-06
1021,15,Cerdanya,17141,Puigcerdà,1,Dona,Positiu PCR,4,11-06
1022,38,Urgell,25217,Tàrrega,1,Dona,Positiu PCR,1,11-06
1023,40,Vallès Occidental,08252,Barberà del Vallès,1,Dona,Positiu per ELISA,1,11-06
1024,02,Alt Empordà ,17074,Fortià,1,Dona,Sospitós,1,11-06
1025,18,Garrigues,25073,Cervià de les Garrigues,0,Home,Sospitós,1,11-06
1026,02,Alt Empordà ,17158,Sant Climent Sescebes,1,Dona,Sospitós,1,11-06
1027,01,Alt Camp,43160,Vallmoll,1,Dona,Sospitós,1,11-06
1028,25,Pallars Jussà ,25227,La Torre de Cabdella,1,Dona,Sospitós,1,11-06
1029,24,Osona,08233,Sant Pere de Torelló,1,Dona,Sospitós,1,11-06
1030,21,Maresme,08029,Cabrera de Mar,0,Home,Sospitós,1,11-06
1031,21,Maresme,08261,Santa Susanna,0,Home,Sospitós,5,11-06
1032,06,Anoia,08119,Masquefa,1,Dona,Positiu PCR,4,11-06
1033,11,Baix Llobregat,08056,Castelldefels,1,Dona,Positiu per ELISA,1,11-06
1034,12,Baix Penedès,43137,Sant Jaume dels Domenys,1,Dona,Positiu PCR,2,11-06
1035,15,Cerdanya,17082,Guils de Cerdanya,1,Dona,Sospitós,2,11-06
1036,37,Terra Alta,43064,Gandesa,0,Home,Sospitós,1,11-06
1037,36,Tarragonès,43095,El Morell,0,Home,Sospitós,2,11-06
1038,08,Baix Camp,43088,Montbrió del Camp,0,Home,Sospitós,3,11-06
1039,11,Baix Llobregat,08263,Sant Vicenç dels Horts,0,Home,Positiu PCR,1,11-06
1040,21,Maresme,08110,Malgrat de Mar,1,Dona,Positiu PCR,1,11-06
1041,03,Alt Penedès,08288,Torrelles de Foix,0,Home,Positiu PCR,2,11-06
1042,34,Selva,17146,Riells i Viabrea,0,Home,Sospitós,3,11-06
1043,34,Selva,17202,Tossa de Mar,0,Home,Positiu PCR,1,11-06
1044,02,Alt Empordà ,17086,La Jonquera,0,Home,Positiu PCR,2,11-06
1045,21,Maresme,08197,Sant Andreu de Llavaneres,0,Home,Sospitós,9,11-06
1046,26,Pallars Sobirà ,25183,Rialp,0,Home,Sospitós,3,11-06
1047,10,Baix Empordà ,17057,Corçà,0,Home,Sospitós,2,11-06
